[cache] data_root = /root/data/FaceForensics++
[cache] variant = heuristic
[cache] image_size = 256
[cache] device = cpu
  [28975/50000] 18.87 img/s ETA 1114s
  [29000/50000] 18.87 img/s ETA 1113s
  [29025/50000] 18.87 img/s ETA 1111s
  [29050/50000] 18.87 img/s ETA 1110s
  [29075/50000] 18.87 img/s ETA 1109s
  [29100/50000] 18.87 img/s ETA 1107s
  [29125/50000] 18.87 img/s ETA 1106s
  [29150/50000] 18.88 img/s ETA 1105s
  [29175/50000] 18.88 img/s ETA 1103s
  [29200/50000] 18.88 img/s ETA 1102s
  [29225/50000] 18.88 img/s ETA 1100s
  [29250/50000] 18.89 img/s ETA 1099s
  [29275/50000] 18.88 img/s ETA 1097s
  [29300/50000] 18.88 img/s ETA 1096s
  [29325/50000] 18.88 img/s ETA 1095s
  [29350/50000] 18.88 img/s ETA 1094s
  [29375/50000] 18.89 img/s ETA 1092s
  [29400/50000] 18.89 img/s ETA 1091s
  [29425/50000] 18.89 img/s ETA 1089s
  [29450/50000] 18.88 img/s ETA 1088s
  [29475/50000] 18.88 img/s ETA 1087s
  [29500/50000] 18.88 img/s ETA 1086s
  [29525/50000] 18.87 img/s ETA 1085s
  [29550/50000] 18.87 img/s ETA 1084s
  [29575/50000] 18.86 img/s ETA 1083s
  [29600/50000] 18.86 img/s ETA 1082s
  [29625/50000] 18.86 img/s ETA 1080s
  [29650/50000] 18.86 img/s ETA 1079s
  [29675/50000] 18.86 img/s ETA 1077s
  [29700/50000] 18.87 img/s ETA 1076s
  [29725/50000] 18.87 img/s ETA 1074s
  [29750/50000] 18.87 img/s ETA 1073s
  [29775/50000] 18.87 img/s ETA 1072s
  [29800/50000] 18.88 img/s ETA 1070s
  [29825/50000] 18.88 img/s ETA 1069s
  [29850/50000] 18.88 img/s ETA 1067s
  [29875/50000] 18.88 img/s ETA 1066s
  [29900/50000] 18.89 img/s ETA 1064s
  [29925/50000] 18.89 img/s ETA 1063s
  [29950/50000] 18.89 img/s ETA 1061s
  [29975/50000] 18.89 img/s ETA 1060s
  [30000/50000] 18.89 img/s ETA 1059s
  [30025/50000] 18.90 img/s ETA 1057s
  [30050/50000] 18.90 img/s ETA 1056s
  [30075/50000] 18.90 img/s ETA 1054s
  [30100/50000] 18.90 img/s ETA 1053s
  [30125/50000] 18.90 img/s ETA 1052s
  [30150/50000] 18.90 img/s ETA 1050s
  [30175/50000] 18.91 img/s ETA 1049s
  [30200/50000] 18.91 img/s ETA 1047s
  [30225/50000] 18.91 img/s ETA 1046s
  [30250/50000] 18.91 img/s ETA 1044s
  [30275/50000] 18.91 img/s ETA 1043s
  [30300/50000] 18.91 img/s ETA 1042s
  [30325/50000] 18.89 img/s ETA 1042s
  [30350/50000] 18.88 img/s ETA 1041s
  [30375/50000] 18.88 img/s ETA 1039s
  [30400/50000] 18.88 img/s ETA 1038s
  [30425/50000] 18.89 img/s ETA 1036s
  [30450/50000] 18.89 img/s ETA 1035s
  [30475/50000] 18.89 img/s ETA 1034s
  [30500/50000] 18.89 img/s ETA 1032s
  [30525/50000] 18.89 img/s ETA 1031s
  [30550/50000] 18.89 img/s ETA 1030s
  [30575/50000] 18.89 img/s ETA 1029s
  [30600/50000] 18.89 img/s ETA 1027s
  [30625/50000] 18.89 img/s ETA 1026s
  [30650/50000] 18.90 img/s ETA 1024s
  [30675/50000] 18.90 img/s ETA 1022s
  [30700/50000] 18.90 img/s ETA 1021s
  [30725/50000] 18.91 img/s ETA 1020s
  [30750/50000] 18.90 img/s ETA 1018s
  [30775/50000] 18.90 img/s ETA 1017s
  [30800/50000] 18.89 img/s ETA 1016s
  [30825/50000] 18.89 img/s ETA 1015s
  [30850/50000] 18.89 img/s ETA 1014s
  [30875/50000] 18.89 img/s ETA 1013s
  [30900/50000] 18.89 img/s ETA 1011s
  [30925/50000] 18.89 img/s ETA 1010s
  [30950/50000] 18.90 img/s ETA 1008s
  [30975/50000] 18.90 img/s ETA 1007s
  [31000/50000] 18.90 img/s ETA 1005s
  [31025/50000] 18.91 img/s ETA 1004s
  [31050/50000] 18.90 img/s ETA 1003s
  [31075/50000] 18.91 img/s ETA 1001s
  [31100/50000] 18.91 img/s ETA 1000s
  [31125/50000] 18.91 img/s ETA 998s
  [31150/50000] 18.91 img/s ETA 997s
  [31175/50000] 18.91 img/s ETA 995s
  [31200/50000] 18.91 img/s ETA 994s
  [31225/50000] 18.91 img/s ETA 993s
  [31250/50000] 18.91 img/s ETA 992s
  [31275/50000] 18.91 img/s ETA 990s
  [31300/50000] 18.91 img/s ETA 989s
  [31325/50000] 18.91 img/s ETA 988s
  [31350/50000] 18.91 img/s ETA 986s
  [31375/50000] 18.91 img/s ETA 985s
  [31400/50000] 18.91 img/s ETA 984s
  [31425/50000] 18.91 img/s ETA 983s
  [31450/50000] 18.91 img/s ETA 981s
  [31475/50000] 18.91 img/s ETA 980s
  [31500/50000] 18.91 img/s ETA 978s
  [31525/50000] 18.92 img/s ETA 977s
  [31550/50000] 18.92 img/s ETA 975s
  [31575/50000] 18.92 img/s ETA 974s
  [31600/50000] 18.93 img/s ETA 972s
  [31625/50000] 18.92 img/s ETA 971s
  [31650/50000] 18.92 img/s ETA 970s
  [31675/50000] 18.92 img/s ETA 969s
  [31700/50000] 18.92 img/s ETA 967s
  [31725/50000] 18.92 img/s ETA 966s
  [31750/50000] 18.93 img/s ETA 964s
  [31775/50000] 18.93 img/s ETA 963s
  [31800/50000] 18.93 img/s ETA 961s
  [31825/50000] 18.93 img/s ETA 960s
  [31850/50000] 18.93 img/s ETA 959s
  [31875/50000] 18.93 img/s ETA 958s
  [31900/50000] 18.93 img/s ETA 956s
  [31925/50000] 18.93 img/s ETA 955s
  [31950/50000] 18.93 img/s ETA 954s
  [31975/50000] 18.93 img/s ETA 952s
  [32000/50000] 18.93 img/s ETA 951s
  [32025/50000] 18.94 img/s ETA 949s
  [32050/50000] 18.93 img/s ETA 948s
  [32075/50000] 18.93 img/s ETA 947s
  [32100/50000] 18.93 img/s ETA 946s
  [32125/50000] 18.93 img/s ETA 944s
  [32150/50000] 18.94 img/s ETA 943s
  [32175/50000] 18.94 img/s ETA 941s
  [32200/50000] 18.94 img/s ETA 940s
  [32225/50000] 18.94 img/s ETA 938s
  [32250/50000] 18.94 img/s ETA 937s
  [32275/50000] 18.94 img/s ETA 936s
  [32300/50000] 18.94 img/s ETA 935s
  [32325/50000] 18.94 img/s ETA 933s
  [32350/50000] 18.95 img/s ETA 932s
  [32375/50000] 18.95 img/s ETA 930s
  [32400/50000] 18.95 img/s ETA 929s
  [32425/50000] 18.95 img/s ETA 927s
  [32450/50000] 18.96 img/s ETA 926s
  [32475/50000] 18.96 img/s ETA 924s
  [32500/50000] 18.96 img/s ETA 923s
  [32525/50000] 18.95 img/s ETA 922s
  [32550/50000] 18.95 img/s ETA 921s
  [32575/50000] 18.96 img/s ETA 919s
  [32600/50000] 18.96 img/s ETA 918s
  [32625/50000] 18.95 img/s ETA 917s
  [32650/50000] 18.96 img/s ETA 915s
  [32675/50000] 18.96 img/s ETA 914s
  [32700/50000] 18.96 img/s ETA 912s
  [32725/50000] 18.96 img/s ETA 911s
  [32750/50000] 18.95 img/s ETA 910s
  [32775/50000] 18.95 img/s ETA 909s
  [32800/50000] 18.95 img/s ETA 907s
  [32825/50000] 18.95 img/s ETA 906s
  [32850/50000] 18.96 img/s ETA 905s
  [32875/50000] 18.96 img/s ETA 903s
  [32900/50000] 18.96 img/s ETA 902s
  [32925/50000] 18.95 img/s ETA 901s
  [32950/50000] 18.95 img/s ETA 900s
  [32975/50000] 18.95 img/s ETA 898s
  [33000/50000] 18.95 img/s ETA 897s
  [33025/50000] 18.95 img/s ETA 896s
  [33050/50000] 18.96 img/s ETA 894s
  [33075/50000] 18.96 img/s ETA 893s
  [33100/50000] 18.96 img/s ETA 892s
  [33125/50000] 18.96 img/s ETA 890s
  [33150/50000] 18.96 img/s ETA 889s
  [33175/50000] 18.96 img/s ETA 888s
  [33200/50000] 18.96 img/s ETA 886s
  [33225/50000] 18.95 img/s ETA 885s
  [33250/50000] 18.95 img/s ETA 884s
  [33275/50000] 18.95 img/s ETA 883s
  [33300/50000] 18.94 img/s ETA 882s
  [33325/50000] 18.94 img/s ETA 880s
  [33350/50000] 18.95 img/s ETA 879s
  [33375/50000] 18.94 img/s ETA 878s
  [33400/50000] 18.94 img/s ETA 876s
  [33425/50000] 18.93 img/s ETA 875s
  [33450/50000] 18.93 img/s ETA 874s
  [33475/50000] 18.93 img/s ETA 873s
  [33500/50000] 18.93 img/s ETA 871s
  [33525/50000] 18.94 img/s ETA 870s
  [33550/50000] 18.94 img/s ETA 869s
  [33575/50000] 18.94 img/s ETA 867s
  [33600/50000] 18.94 img/s ETA 866s
  [33625/50000] 18.94 img/s ETA 864s
  [33650/50000] 18.95 img/s ETA 863s
  [33675/50000] 18.95 img/s ETA 862s
  [33700/50000] 18.95 img/s ETA 860s
  [33725/50000] 18.95 img/s ETA 859s
  [33750/50000] 18.96 img/s ETA 857s
  [33775/50000] 18.96 img/s ETA 856s
  [33800/50000] 18.95 img/s ETA 855s
  [33825/50000] 18.95 img/s ETA 854s
  [33850/50000] 18.95 img/s ETA 852s
  [33875/50000] 18.96 img/s ETA 851s
  [33900/50000] 18.95 img/s ETA 850s
  [33925/50000] 18.95 img/s ETA 848s
  [33950/50000] 18.96 img/s ETA 847s
  [33975/50000] 18.95 img/s ETA 846s
  [34000/50000] 18.95 img/s ETA 845s
  [34025/50000] 18.94 img/s ETA 843s
  [34050/50000] 18.94 img/s ETA 842s
  [34075/50000] 18.95 img/s ETA 841s
  [34100/50000] 18.94 img/s ETA 839s
  [34125/50000] 18.94 img/s ETA 838s
  [34150/50000] 18.95 img/s ETA 837s
  [34175/50000] 18.94 img/s ETA 835s
  [34200/50000] 18.94 img/s ETA 834s
  [34225/50000] 18.94 img/s ETA 833s
  [34250/50000] 18.94 img/s ETA 831s
  [34275/50000] 18.95 img/s ETA 830s
  [34300/50000] 18.94 img/s ETA 829s
  [34325/50000] 18.94 img/s ETA 828s
  [34350/50000] 18.94 img/s ETA 826s
  [34375/50000] 18.94 img/s ETA 825s
  [34400/50000] 18.94 img/s ETA 824s
  [34425/50000] 18.95 img/s ETA 822s
  [34450/50000] 18.95 img/s ETA 821s
  [34475/50000] 18.95 img/s ETA 819s
  [34500/50000] 18.95 img/s ETA 818s
  [34525/50000] 18.96 img/s ETA 816s
  [34550/50000] 18.96 img/s ETA 815s
  [34575/50000] 18.96 img/s ETA 814s
  [34600/50000] 18.96 img/s ETA 812s
  [34625/50000] 18.96 img/s ETA 811s
  [34650/50000] 18.96 img/s ETA 810s
  [34675/50000] 18.96 img/s ETA 808s
  [34700/50000] 18.96 img/s ETA 807s
  [34725/50000] 18.96 img/s ETA 806s
  [34750/50000] 18.96 img/s ETA 804s
  [34775/50000] 18.96 img/s ETA 803s
  [34800/50000] 18.96 img/s ETA 802s
  [34825/50000] 18.96 img/s ETA 800s
  [34850/50000] 18.95 img/s ETA 799s
  [34875/50000] 18.95 img/s ETA 798s
  [34900/50000] 18.95 img/s ETA 797s
  [34925/50000] 18.95 img/s ETA 795s
  [34950/50000] 18.96 img/s ETA 794s
  [34975/50000] 18.95 img/s ETA 793s
  [35000/50000] 18.95 img/s ETA 792s
  [35025/50000] 18.95 img/s ETA 790s
  [35050/50000] 18.95 img/s ETA 789s
  [35075/50000] 18.96 img/s ETA 787s
  [35100/50000] 18.95 img/s ETA 786s
  [35125/50000] 18.95 img/s ETA 785s
  [35150/50000] 18.95 img/s ETA 783s
  [35175/50000] 18.96 img/s ETA 782s
  [35200/50000] 18.96 img/s ETA 781s
  [35225/50000] 18.95 img/s ETA 780s
  [35250/50000] 18.96 img/s ETA 778s
  [35275/50000] 18.96 img/s ETA 777s
  [35300/50000] 18.96 img/s ETA 775s
  [35325/50000] 18.96 img/s ETA 774s
  [35350/50000] 18.96 img/s ETA 773s
  [35375/50000] 18.96 img/s ETA 771s
  [35400/50000] 18.96 img/s ETA 770s
  [35425/50000] 18.96 img/s ETA 769s
  [35450/50000] 18.96 img/s ETA 767s
  [35475/50000] 18.96 img/s ETA 766s
  [35500/50000] 18.96 img/s ETA 765s
  [35525/50000] 18.96 img/s ETA 763s
  [35550/50000] 18.96 img/s ETA 762s
  [35575/50000] 18.96 img/s ETA 761s
  [35600/50000] 18.97 img/s ETA 759s
  [35625/50000] 18.96 img/s ETA 758s
  [35650/50000] 18.97 img/s ETA 757s
  [35675/50000] 18.97 img/s ETA 755s
  [35700/50000] 18.96 img/s ETA 754s
  [35725/50000] 18.96 img/s ETA 753s
  [35750/50000] 18.96 img/s ETA 751s
  [35775/50000] 18.96 img/s ETA 750s
  [35800/50000] 18.96 img/s ETA 749s
  [35825/50000] 18.96 img/s ETA 747s
  [35850/50000] 18.96 img/s ETA 746s
  [35875/50000] 18.96 img/s ETA 745s
  [35900/50000] 18.96 img/s ETA 744s
  [35925/50000] 18.95 img/s ETA 743s
  [35950/50000] 18.95 img/s ETA 741s
  [35975/50000] 18.95 img/s ETA 740s
  [36000/50000] 18.95 img/s ETA 739s
  [36025/50000] 18.96 img/s ETA 737s
  [36050/50000] 18.95 img/s ETA 736s
  [36075/50000] 18.95 img/s ETA 735s
  [36100/50000] 18.95 img/s ETA 733s
  [36125/50000] 18.95 img/s ETA 732s
  [36150/50000] 18.95 img/s ETA 731s
  [36175/50000] 18.95 img/s ETA 729s
  [36200/50000] 18.95 img/s ETA 728s
  [36225/50000] 18.96 img/s ETA 727s
  [36250/50000] 18.95 img/s ETA 726s
  [36275/50000] 18.95 img/s ETA 724s
  [36300/50000] 18.95 img/s ETA 723s
  [36325/50000] 18.95 img/s ETA 722s
  [36350/50000] 18.95 img/s ETA 720s
  [36375/50000] 18.95 img/s ETA 719s
  [36400/50000] 18.95 img/s ETA 718s
  [36425/50000] 18.95 img/s ETA 716s
  [36450/50000] 18.94 img/s ETA 715s
  [36475/50000] 18.94 img/s ETA 714s
  [36500/50000] 18.94 img/s ETA 713s
  [36525/50000] 18.94 img/s ETA 711s
  [36550/50000] 18.94 img/s ETA 710s
  [36575/50000] 18.94 img/s ETA 709s
  [36600/50000] 18.94 img/s ETA 707s
  [36625/50000] 18.94 img/s ETA 706s
  [36650/50000] 18.93 img/s ETA 705s
  [36675/50000] 18.93 img/s ETA 704s
  [36700/50000] 18.93 img/s ETA 702s
  [36725/50000] 18.93 img/s ETA 701s
  [36750/50000] 18.93 img/s ETA 700s
  [36775/50000] 18.94 img/s ETA 698s
  [36800/50000] 18.94 img/s ETA 697s
  [36825/50000] 18.93 img/s ETA 696s
  [36850/50000] 18.93 img/s ETA 695s
  [36875/50000] 18.93 img/s ETA 693s
  [36900/50000] 18.94 img/s ETA 692s
  [36925/50000] 18.94 img/s ETA 690s
  [36950/50000] 18.94 img/s ETA 689s
  [36975/50000] 18.94 img/s ETA 688s
  [37000/50000] 18.93 img/s ETA 687s
  [37025/50000] 18.94 img/s ETA 685s
  [37050/50000] 18.94 img/s ETA 684s
  [37075/50000] 18.93 img/s ETA 683s
  [37100/50000] 18.92 img/s ETA 682s
  [37125/50000] 18.92 img/s ETA 681s
  [37150/50000] 18.92 img/s ETA 679s
  [37175/50000] 18.92 img/s ETA 678s
  [37200/50000] 18.92 img/s ETA 676s
  [37225/50000] 18.92 img/s ETA 675s
  [37250/50000] 18.92 img/s ETA 674s
  [37275/50000] 18.92 img/s ETA 672s
  [37300/50000] 18.93 img/s ETA 671s
  [37325/50000] 18.93 img/s ETA 670s
  [37350/50000] 18.92 img/s ETA 669s
  [37375/50000] 18.92 img/s ETA 667s
  [37400/50000] 18.92 img/s ETA 666s
  [37425/50000] 18.92 img/s ETA 665s
  [37450/50000] 18.92 img/s ETA 663s
  [37475/50000] 18.92 img/s ETA 662s
  [37500/50000] 18.91 img/s ETA 661s
  [37525/50000] 18.90 img/s ETA 660s
  [37550/50000] 18.90 img/s ETA 659s
  [37575/50000] 18.90 img/s ETA 657s
  [37600/50000] 18.90 img/s ETA 656s
  [37625/50000] 18.90 img/s ETA 655s
  [37650/50000] 18.90 img/s ETA 654s
  [37675/50000] 18.90 img/s ETA 652s
  [37700/50000] 18.89 img/s ETA 651s
  [37725/50000] 18.89 img/s ETA 650s
  [37750/50000] 18.89 img/s ETA 648s
  [37775/50000] 18.89 img/s ETA 647s
  [37800/50000] 18.90 img/s ETA 646s
  [37825/50000] 18.90 img/s ETA 644s
  [37850/50000] 18.90 img/s ETA 643s
  [37875/50000] 18.90 img/s ETA 642s
  [37900/50000] 18.89 img/s ETA 640s
  [37925/50000] 18.90 img/s ETA 639s
  [37950/50000] 18.90 img/s ETA 638s
  [37975/50000] 18.89 img/s ETA 636s
  [38000/50000] 18.89 img/s ETA 635s
  [38025/50000] 18.90 img/s ETA 634s
  [38050/50000] 18.90 img/s ETA 632s
  [38075/50000] 18.90 img/s ETA 631s
  [38100/50000] 18.90 img/s ETA 630s
  [38125/50000] 18.90 img/s ETA 628s
  [38150/50000] 18.90 img/s ETA 627s
  [38175/50000] 18.90 img/s ETA 626s
  [38200/50000] 18.90 img/s ETA 624s
  [38225/50000] 18.90 img/s ETA 623s
  [38250/50000] 18.90 img/s ETA 622s
  [38275/50000] 18.89 img/s ETA 621s
  [38300/50000] 18.90 img/s ETA 619s
  [38325/50000] 18.89 img/s ETA 618s
  [38350/50000] 18.89 img/s ETA 617s
  [38375/50000] 18.89 img/s ETA 616s
  [38400/50000] 18.89 img/s ETA 614s
  [38425/50000] 18.89 img/s ETA 613s
  [38450/50000] 18.88 img/s ETA 612s
  [38475/50000] 18.89 img/s ETA 610s
  [38500/50000] 18.88 img/s ETA 609s
  [38525/50000] 18.89 img/s ETA 608s
  [38550/50000] 18.88 img/s ETA 606s
  [38575/50000] 18.88 img/s ETA 605s
  [38600/50000] 18.88 img/s ETA 604s
  [38625/50000] 18.87 img/s ETA 603s
  [38650/50000] 18.87 img/s ETA 602s
  [38675/50000] 18.86 img/s ETA 600s
  [38700/50000] 18.87 img/s ETA 599s
  [38725/50000] 18.87 img/s ETA 598s
  [38750/50000] 18.87 img/s ETA 596s
  [38775/50000] 18.87 img/s ETA 595s
  [38800/50000] 18.87 img/s ETA 593s
  [38825/50000] 18.87 img/s ETA 592s
  [38850/50000] 18.88 img/s ETA 591s
  [38875/50000] 18.87 img/s ETA 589s
  [38900/50000] 18.87 img/s ETA 588s
  [38925/50000] 18.88 img/s ETA 587s
  [38950/50000] 18.88 img/s ETA 585s
  [38975/50000] 18.88 img/s ETA 584s
  [39000/50000] 18.88 img/s ETA 583s
  [39025/50000] 18.88 img/s ETA 581s
  [39050/50000] 18.88 img/s ETA 580s
  [39075/50000] 18.88 img/s ETA 579s
  [39100/50000] 18.88 img/s ETA 577s
  [39125/50000] 18.88 img/s ETA 576s
  [39150/50000] 18.89 img/s ETA 575s
  [39175/50000] 18.89 img/s ETA 573s
  [39200/50000] 18.89 img/s ETA 572s
  [39225/50000] 18.89 img/s ETA 570s
  [39250/50000] 18.89 img/s ETA 569s
  [39275/50000] 18.89 img/s ETA 568s
  [39300/50000] 18.89 img/s ETA 566s
  [39325/50000] 18.89 img/s ETA 565s
  [39350/50000] 18.89 img/s ETA 564s
  [39375/50000] 18.89 img/s ETA 562s
  [39400/50000] 18.89 img/s ETA 561s
  [39425/50000] 18.89 img/s ETA 560s
  [39450/50000] 18.89 img/s ETA 559s
  [39475/50000] 18.88 img/s ETA 557s
  [39500/50000] 18.88 img/s ETA 556s
  [39525/50000] 18.87 img/s ETA 555s
  [39550/50000] 18.87 img/s ETA 554s
  [39575/50000] 18.87 img/s ETA 553s
  [39600/50000] 18.87 img/s ETA 551s
  [39625/50000] 18.87 img/s ETA 550s
  [39650/50000] 18.87 img/s ETA 549s
  [39675/50000] 18.87 img/s ETA 547s
  [39700/50000] 18.87 img/s ETA 546s
  [39725/50000] 18.87 img/s ETA 544s
  [39750/50000] 18.87 img/s ETA 543s
  [39775/50000] 18.87 img/s ETA 542s
  [39800/50000] 18.88 img/s ETA 540s
  [39825/50000] 18.88 img/s ETA 539s
  [39850/50000] 18.88 img/s ETA 538s
  [39875/50000] 18.88 img/s ETA 536s
  [39900/50000] 18.88 img/s ETA 535s
  [39925/50000] 18.88 img/s ETA 534s
  [39950/50000] 18.88 img/s ETA 532s
  [39975/50000] 18.89 img/s ETA 531s
  [40000/50000] 18.89 img/s ETA 529s
  [40025/50000] 18.89 img/s ETA 528s
  [40050/50000] 18.89 img/s ETA 527s
  [40075/50000] 18.89 img/s ETA 525s
  [40100/50000] 18.89 img/s ETA 524s
  [40125/50000] 18.89 img/s ETA 523s
  [40150/50000] 18.89 img/s ETA 521s
  [40175/50000] 18.90 img/s ETA 520s
  [40200/50000] 18.90 img/s ETA 519s
  [40225/50000] 18.90 img/s ETA 517s
  [40250/50000] 18.90 img/s ETA 516s
  [40275/50000] 18.90 img/s ETA 515s
  [40300/50000] 18.90 img/s ETA 513s
  [40325/50000] 18.89 img/s ETA 512s
  [40350/50000] 18.88 img/s ETA 511s
  [40375/50000] 18.88 img/s ETA 510s
  [40400/50000] 18.88 img/s ETA 509s
  [40425/50000] 18.88 img/s ETA 507s
  [40450/50000] 18.88 img/s ETA 506s
  [40475/50000] 18.88 img/s ETA 505s
  [40500/50000] 18.88 img/s ETA 503s
  [40525/50000] 18.88 img/s ETA 502s
  [40550/50000] 18.88 img/s ETA 501s
  [40575/50000] 18.87 img/s ETA 499s
  [40600/50000] 18.88 img/s ETA 498s
  [40625/50000] 18.88 img/s ETA 497s
  [40650/50000] 18.88 img/s ETA 495s
  [40675/50000] 18.89 img/s ETA 494s
  [40700/50000] 18.88 img/s ETA 492s
  [40725/50000] 18.89 img/s ETA 491s
  [40750/50000] 18.88 img/s ETA 490s
  [40775/50000] 18.88 img/s ETA 489s
  [40800/50000] 18.87 img/s ETA 488s
  [40825/50000] 18.87 img/s ETA 486s
  [40850/50000] 18.86 img/s ETA 485s
  [40875/50000] 18.86 img/s ETA 484s
  [40900/50000] 18.86 img/s ETA 482s
  [40925/50000] 18.86 img/s ETA 481s
  [40950/50000] 18.87 img/s ETA 480s
  [40975/50000] 18.87 img/s ETA 478s
  [41000/50000] 18.87 img/s ETA 477s
  [41025/50000] 18.88 img/s ETA 475s
  [41050/50000] 18.87 img/s ETA 474s
  [41075/50000] 18.88 img/s ETA 473s
  [41100/50000] 18.87 img/s ETA 472s
  [41125/50000] 18.87 img/s ETA 470s
  [41150/50000] 18.88 img/s ETA 469s
  [41175/50000] 18.88 img/s ETA 467s
  [41200/50000] 18.88 img/s ETA 466s
  [41225/50000] 18.87 img/s ETA 465s
  [41250/50000] 18.87 img/s ETA 464s
  [41275/50000] 18.87 img/s ETA 462s
  [41300/50000] 18.87 img/s ETA 461s
  [41325/50000] 18.87 img/s ETA 460s
  [41350/50000] 18.88 img/s ETA 458s
  [41375/50000] 18.88 img/s ETA 457s
  [41400/50000] 18.87 img/s ETA 456s
  [41425/50000] 18.87 img/s ETA 454s
  [41450/50000] 18.87 img/s ETA 453s
  [41475/50000] 18.87 img/s ETA 452s
  [41500/50000] 18.88 img/s ETA 450s
  [41525/50000] 18.88 img/s ETA 449s
  [41550/50000] 18.88 img/s ETA 448s
  [41575/50000] 18.88 img/s ETA 446s
  [41600/50000] 18.88 img/s ETA 445s
  [41625/50000] 18.88 img/s ETA 444s
  [41650/50000] 18.88 img/s ETA 442s
  [41675/50000] 18.88 img/s ETA 441s
  [41700/50000] 18.88 img/s ETA 440s
  [41725/50000] 18.88 img/s ETA 438s
  [41750/50000] 18.88 img/s ETA 437s
  [41775/50000] 18.88 img/s ETA 436s
  [41800/50000] 18.89 img/s ETA 434s
  [41825/50000] 18.89 img/s ETA 433s
  [41850/50000] 18.88 img/s ETA 432s
  [41875/50000] 18.89 img/s ETA 430s
  [41900/50000] 18.89 img/s ETA 429s
  [41925/50000] 18.88 img/s ETA 428s
  [41950/50000] 18.88 img/s ETA 426s
  [41975/50000] 18.89 img/s ETA 425s
  [42000/50000] 18.89 img/s ETA 424s
  [42025/50000] 18.89 img/s ETA 422s
  [42050/50000] 18.89 img/s ETA 421s
  [42075/50000] 18.88 img/s ETA 420s
  [42100/50000] 18.88 img/s ETA 418s
  [42125/50000] 18.88 img/s ETA 417s
  [42150/50000] 18.89 img/s ETA 416s
  [42175/50000] 18.89 img/s ETA 414s
  [42200/50000] 18.89 img/s ETA 413s
  [42225/50000] 18.89 img/s ETA 412s
  [42250/50000] 18.89 img/s ETA 410s
  [42275/50000] 18.89 img/s ETA 409s
  [42300/50000] 18.89 img/s ETA 408s
  [42325/50000] 18.88 img/s ETA 406s
  [42350/50000] 18.89 img/s ETA 405s
  [42375/50000] 18.89 img/s ETA 404s
  [42400/50000] 18.89 img/s ETA 402s
  [42425/50000] 18.89 img/s ETA 401s
  [42450/50000] 18.90 img/s ETA 400s
  [42475/50000] 18.90 img/s ETA 398s
  [42500/50000] 18.90 img/s ETA 397s
  [42525/50000] 18.89 img/s ETA 396s
  [42550/50000] 18.89 img/s ETA 394s
  [42575/50000] 18.90 img/s ETA 393s
  [42600/50000] 18.90 img/s ETA 392s
  [42625/50000] 18.89 img/s ETA 390s
  [42650/50000] 18.89 img/s ETA 389s
  [42675/50000] 18.90 img/s ETA 388s
  [42700/50000] 18.90 img/s ETA 386s
  [42725/50000] 18.90 img/s ETA 385s
  [42750/50000] 18.89 img/s ETA 384s
  [42775/50000] 18.89 img/s ETA 382s
  [42800/50000] 18.89 img/s ETA 381s
  [42825/50000] 18.89 img/s ETA 380s
  [42850/50000] 18.89 img/s ETA 378s
  [42875/50000] 18.89 img/s ETA 377s
  [42900/50000] 18.90 img/s ETA 376s
  [42925/50000] 18.89 img/s ETA 375s
  [42950/50000] 18.89 img/s ETA 373s
  [42975/50000] 18.89 img/s ETA 372s
  [43000/50000] 18.89 img/s ETA 371s
  [43025/50000] 18.89 img/s ETA 369s
  [43050/50000] 18.89 img/s ETA 368s
  [43075/50000] 18.90 img/s ETA 366s
  [43100/50000] 18.89 img/s ETA 365s
  [43125/50000] 18.89 img/s ETA 364s
  [43150/50000] 18.89 img/s ETA 363s
  [43175/50000] 18.89 img/s ETA 361s
  [43200/50000] 18.89 img/s ETA 360s
  [43225/50000] 18.88 img/s ETA 359s
  [43250/50000] 18.88 img/s ETA 358s
  [43275/50000] 18.88 img/s ETA 356s
  [43300/50000] 18.88 img/s ETA 355s
  [43325/50000] 18.88 img/s ETA 354s
  [43350/50000] 18.88 img/s ETA 352s
  [43375/50000] 18.88 img/s ETA 351s
  [43400/50000] 18.87 img/s ETA 350s
  [43425/50000] 18.87 img/s ETA 348s
  [43450/50000] 18.87 img/s ETA 347s
  [43475/50000] 18.87 img/s ETA 346s
  [43500/50000] 18.87 img/s ETA 344s
  [43525/50000] 18.87 img/s ETA 343s
  [43550/50000] 18.88 img/s ETA 342s
  [43575/50000] 18.87 img/s ETA 340s
  [43600/50000] 18.88 img/s ETA 339s
  [43625/50000] 18.88 img/s ETA 338s
  [43650/50000] 18.88 img/s ETA 336s
  [43675/50000] 18.88 img/s ETA 335s
  [43700/50000] 18.88 img/s ETA 334s
  [43725/50000] 18.88 img/s ETA 332s
  [43750/50000] 18.88 img/s ETA 331s
  [43775/50000] 18.88 img/s ETA 330s
  [43800/50000] 18.88 img/s ETA 328s
  [43825/50000] 18.88 img/s ETA 327s
  [43850/50000] 18.88 img/s ETA 326s
  [43875/50000] 18.88 img/s ETA 324s
  [43900/50000] 18.88 img/s ETA 323s
  [43925/50000] 18.88 img/s ETA 322s
  [43950/50000] 18.88 img/s ETA 320s
  [43975/50000] 18.87 img/s ETA 319s
  [44000/50000] 18.87 img/s ETA 318s
